Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-20,WIPRO,EQ,430.25,434.0,447.85,433.0,444.9,444.95,443.71,24419679,1083515334554999.9,207154,4623935,0.1894
2021-01-21,WIPRO,EQ,444.95,451.6,453.45,442.3,447.65,445.8,448.46,15911377,713565904250000.0,138856,4607464,0.2896
2021-01-22,WIPRO,EQ,445.8,447.45,452.0,440.45,443.5,444.75,445.22,11398812,507496862485000.06,120324,3259580,0.28600000000000003
2021-01-25,WIPRO,EQ,444.75,445.15,451.0,435.15,437.9,437.25,441.91,7380169,326136000780000.0,86204,1953913,0.26480000000000004
2021-01-27,WIPRO,EQ,437.25,438.0,454.75,437.25,446.0,446.45,449.19,29590210,1329156139470000.0,224446,6522228,0.22039999999999998
2021-01-28,WIPRO,EQ,446.45,443.25,448.6,427.3,433.0,431.9,434.54,14812435,643662205055000.0,157793,2346161,0.1584
2021-01-29,WIPRO,EQ,431.9,437.4,437.7,415.55,420.0,417.9,425.79,15632421,665615833940000.0,143912,5120354,0.3275
2021-02-01,WIPRO,EQ,417.9,416.1,423.8,408.2,423.05,421.5,415.3,15081852,626346780645000.0,160816,3402788,0.2256
2021-02-02,WIPRO,EQ,421.5,428.0,435.55,423.65,427.9,428.35,427.93,13310498,569600826530000.0,111916,2813870,0.2114
2021-02-03,WIPRO,EQ,428.35,430.2,439.95,430.2,435.0,433.5,436.37,9897666,431903302139999.94,103571,2275292,0.2299
2021-02-04,WIPRO,EQ,433.5,433.5,436.9,428.25,430.4,429.9,430.85,7193299,309924826230000.0,74478,1906324,0.265
2021-02-05,WIPRO,EQ,429.9,432.0,433.4,420.55,426.5,425.55,424.89,8679026,368762585955000.0,88201,2817052,0.3246
2021-02-08,WIPRO,EQ,425.55,430.35,437.7,426.3,436.3,435.3,431.95,12516340,540637873125000.0,114768,3323421,0.2655
2021-02-09,WIPRO,EQ,435.3,440.25,451.75,435.2,441.5,439.35,445.17,29474830,1312122047985000.0,232757,5599448,0.19
2021-02-10,WIPRO,EQ,439.35,442.0,444.15,435.0,439.7,439.0,438.83,10607735,465500130200000.0,86594,2999030,0.2827
2021-02-11,WIPRO,EQ,439.0,439.0,440.5,433.4,440.2,437.0,436.02,9237026,402751816070000.0,77279,2532694,0.2742
2021-02-12,WIPRO,EQ,437.0,440.0,449.2,439.6,441.7,442.0,444.59,19280834,857212807315000.0,164996,3151753,0.1635
2021-02-15,WIPRO,EQ,442.0,444.6,444.9,436.8,440.6,439.7,440.59,7844877,345640848920000.0,70216,2161564,0.2755
2021-02-16,WIPRO,EQ,439.7,446.0,447.8,433.8,437.85,437.55,440.41,12453798,548477961500000.0,104505,2065281,0.16579999999999998
